,0,2,4,1,3,5
UserID,85,85,85,91,91,91
Algorithm,SVD,Normal,AAAAOriginal,SVD,Normal,AAAAOriginal
Movie 1,All About Eve (1950),"Gods Must Be Crazy, The (1980)",Jumanji (1995),"Godfather, The (1972)",Dumbo (1941),Toy Story (1995)
Movie 2,Star Wars: Episode V - The Empire Strikes Back (1980),Antz (1998),"Jerky Boys, The (1995)","Godfather: Part II, The (1974)",Die Hard: With a Vengeance (1995),How to Train Your Dragon (2010)
Movie 3,Fight Club (1999),Apollo 13 (1995),Mission: Impossible (1996),Rear Window (1954),"Client, The (1994)",Saving Private Ryan (1998)
Movie 4,Cool Hand Luke (1967),Circle of Friends (1995),Terminator 2: Judgment Day (1991),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),"Firm, The (1993)","Matrix, The (1999)"
Movie 5,Goodfellas (1990),Wallace & Gromit: The Best of Aardman Animation (1996),Jurassic Park (1993),Casablanca (1942),In the Line of Fire (1993),Airplane! (1980)
Movie 6,Hachiko: A Dog's Story (a.k.a. Hachi: A Dog's Tale) (2009),Fried Green Tomatoes (1991),"Fugitive, The (1993)",All About Eve (1950),Jurassic Park (1993),Toy Story 2 (1999)
Movie 7,"General, The (1926)",Young Guns (1988),True Lies (1994),It Happened One Night (1934),Mrs. Doubtfire (1993),"Monsters, Inc. (2001)"
Movie 8,"African Queen, The (1951)",Titanic (1997),Speed (1994),"Departed, The (2006)","Nightmare Before Christmas, The (1993)","Lord of the Rings: The Fellowship of the Ring, The (2001)"
Movie 9,"Graduate, The (1967)",American Beauty (1999),Star Trek: Generations (1994),Ferris Bueller's Day Off (1986),"Silence of the Lambs, The (1991)","Bourne Identity, The (2002)"
Movie 10,When We Were Kings (1996),Eternal Sunshine of the Spotless Mind (2004),"Shawshank Redemption, The (1994)","Silence of the Lambs, The (1991)",Eternal Sunshine of the Spotless Mind (2004),"Lord of the Rings: The Two Towers, The (2002)"
